id,level,text,gallery,audio,return_text
1,0,"В сентябре 1862 года в центре новгородского Кремля (детинца) в присутствии императора Александра Второго с наследником и членами Императорского дома был открыт «Памятник тысячелетию российской государственности» или, как привычней современному человеку, — «Тысячелетию России».Согласно «Повести временных лет» российская государственность начинается в 862 году с призвания славянскими племенами править на ними Рюрика, варяжского князя. Конкурс на лучший проект памятника был объявлен за три года до юбилея, в 1859-м. На подготовку проектов скульпторам отводилось всего полгода. Проект должен был соответствовать трем условиям. Показать веру православную над государством и миром. Отразить в скульптурных группах шесть периодов российской истории. Уложиться по высоте в 18 метров. Продолжаем слушать историю создания памятника?","1652229/566ddcc28de0435184d0","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/dc8f9518-bacf-44ae-8986-4e71b6b5796c.opus'>","объявлении конкурса на проект памятника"
1,1,"Победил проект художника Михаила Микешина. Никому не известного 23-летнего выпускника Академии художеств. У него не было опыта работы по скульптурой и он попросил помощи с воплощением своей идеи у Ивана Шрёдера. Своего ровесника, вольноопределяющегося ученика скульптурного класса Академии художеств. Конкурсная комиссия одобрила общую композицию памятника. Огромный шар-держава на постаменте в виде колокола. Силуэт вызывал ассоциации и с вечевым колоколом, символом новгородской истории, и с шапкой Мономаха, атрибутом царской власти. Монумент делился на три уровня и на языке скульптуры отражал формулу: «Православие, самодержавие, народность».Проект Микешина и Шрёдера приняли, памятник решили соорудить из бронзы. Торжественное открытие назначили на август 1862 года. Продолжаем слушать историю создания памятника?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/f6611da5-7876-44f2-95f6-7fd9b8150c72.opus'>","победе в конкурсе проекта Микешина и Шрёдера"
1,2,"Изначально планировалось, что третий ярус памятника будет сюжетно повторять второй. Подготовить за три месяца проект барельефов было поручено учителю Микешина, скульптору Петру Клодту — известному мастеру своего времени. Вы наверняка помните его коней на Аничковом мосту или памятник Ивану Крылову в Летнем саду, пьедестал которого украшен бронзовыми персонажами басен. Однако Александр Второй, лично следивший за ходом работ, отверг предложенный Клодом проект. И тогда Микешин от безысходности сказал императору первое, что пришло в голову: «Я мог бы предложить представить на барельефе всех достойных людей, которые по разным отраслям знания, ума и науки способствовали возвеличиванию России». Император идею принял. Так памятник превратился в летопись России в лицах и обрел свою главную изюминку — 109 фигур выдающихся российских деятелей. Продолжаем?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/78d920ec-f768-44d9-b127-10b7cee995f1.opus'>","истории создания памятника"
1,3,"Строительство памятника было поручено Главному управлению путей сообщения и публичных зданий, возглавляемому генерал-адъютантом Константином Чевкиным.  Сохранился один из ранних уменьшенных макетов, выполненных Шрёдером в бронзе по их поручению. На нем еще нет фигуры ангела, держащего крест и нет фигуры Рюрика. Зато две идола Перуна. В 1860 году был заключен контракт со скульпторами, по которому за лепку каждой фигуры в глине, затем за отливку её в гипсе в двух экземплярах с последующей доставкой на бронзовую фабрику было назначено вознаграждение в 4000 рублей. К 1 июля 1862 года все бронзовые группы, рельефы и решетка вокруг памятника были собраны в литейной мастерской, и на их осмотр пригласили Александра Второго. Он одобрил готовые части памятника. Вскоре их переправили по Неве и Волхову в Новгород. Теперь мы знаем историю создания. Продолжаем?","213044/a3af992c35c5ba8dd00b","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/7dba307e-d19f-48fb-9038-10f8971b6d86.opus'>","истории создания памятника"
2,0,"Обратимся к памятнику. Первое задание конкурса звучало так. Показать веру православную над государством и миром. Чтобы памятник получился запоминающимся и понятным людям всех сословий Микешин решил отвечать на задания буквально. Символом веры над миром Микешин выбрал традиционную форму. Державу - шар с крестом над ним, одну из императорских регалий. К этой форме Мишин добавил ангела, он держит крест и благославляет коленопреклоненную женщину, названную у Микешина Россией. Она в мантии с государственными гербами и опирается на щит с двуглавым орлом, который держит в лапах скипетр и державу. Высота креста 3 метра. Продолжаем?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/541c35e4-76e7-4012-9f33-15ebf59ecd78.opus'>","описании первого яруса"
3,0,"По второму заданию в скульптурных группах должна быть показаны шесть важнейших периодов становления Российской государственности. Второе задание Микешин стал исполнять, расставляя фигурные группы вторым ярусом у подножья шара. Была придумана кольцевая композиция так, чтобы каждая группа была направлена в ту сторону света, с которой исторически связана. По замыслу Микешина, начинать чтение памятнику нужно с фигуры Рюрика. Чтобы его найти, подойдите к памятнику со стороны главного здания музея. Это желтое двухэтажное здание. Встаньте так, чтобы памятник закрыл собой Софийский собор. Рассказать вам больше о Михаиле Микешине, пока вы обходите памятник?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/0779abfd-bb1f-446c-a71b-3f4875c1d2ab.opus'>","общем замысле первого и второго ярусов"
3,1,"После реализации памятника Тысячилетию Российской государственности молодой художник Михаил Микешин получил признание и реализовал еще много проектов. Например он автор памятника Екатерине Второй перед Александрийским театром в Санкт-Петербурге. Или памятника Богдану Хмельницкому в Киеве. И, неожиданно, памятника королю Португалии Педру 4 в Лиссабоне. Микешин работал как скульптор, архитектор, а еще редактировал сатирический журнал. Стал академиком. Умер в 1896 году. Вы уже смогли найти Рюрика? Он опирается на щит. Подойдите к нему и мы продолжим. Готовы?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/5b80f260-9063-49c4-8eff-09f157122032.opus'>","общем замысле и истории создания. Теперь готовы начать чтение памятника."
4,0,"Первая скульптурная группа среднего яруса называется «Приглашение Рюрика в Новгород. Рюрик». Про Рюрика не осталось описаний внешности или изображений. Поэтому Микешин одел его в мундир русского ратника и варяжского князя того времени. На щите написан год приглашения. Это цифры на кириллице (лето STO). Вместе 6370 год. Это год от сотворения мира. Чтобы перейти к привычному летоисчеслению нужно вычесть год Рождества Христова 5508-й. Получится год приглашения Рюрика 862-й. Фигура Рюрика повернута на юг, в сторону Киева, который Рюрик хотел присоединить к своим землям. Но удалось это только Вещему Олегу, регенту при малолетнем сыне Рюрика Игоре. Микешину было важно освободить северное направление в композиции для Петра Первого. Продолжаем?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/5a3d68a8-df51-4eb4-ab40-3219c19d53a4.opus'>","первой группе. Приглашении Рюрика"
5,0,"Вторая скульптурная группа называется «Начало крещения Руси. Владимир Креститель Святославович». Сюжет раскрывают три фигуры, группа слева от Рюрика. Князь Владимир хочет объедить собранные под его рукой разрозненные племена в единый народ и решает связать их единой верой. И вот как это изобразил Микешин. Владимир стоит ногой на сверженном идоле с крестом в руке. У ног фигура славянина, замечательно придуманная. Какой жест, разворот корпуса, сильные руки и, главное, выражение на лице! Смена веры не пройдет мирно. А другой стороны молодая женщина, славянка, босая вышла из вода, она уже крестилась и подносит крестить своего ребенка. Взгляд устремлен на символ новой религии. Это поздний визанскийский восмиконечный крест. Русь принимала крещение от Византии, которая была в то время центром христианского мира. И к Византии направлена вся эта группа. Продолжаем?","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/cefc51b0-89df-4678-b348-80739fe13436.opus'>","второй группе. Крещении Руси"
6,0,"Вернемся к Рюрику и подойдем к следующей за ним небольшой группе из двух человек. Третье событие по условиям конкурса звучало так «Начало освобождения от татар. Куликовская битва. Дмитрий Донской». Группа тоже замечательно исполнена. Показан итог Куликовской битвы в 1380 году. Дмитрий Донской изображен стоящим на ноге поверженного татарского война. В руке вырванный у него символ власти - бунчук. Интересно сравнить достехи Рюрика и Дмитрия. Оба князья-воеводы, но прошло 400 лет и доспехи изменились. Особый замысел в позе татарского война. Это лишь первая победа. Воин смотрит на победителя, глаз не опускает. У него полный колчан со стрелами. И шапку с него просто сбили  с головы, он не ломает её, как положено. И самое главное, он встает, а не падает. Дмитрий наступил ему на ногу и не пускает. Но иго продлится еще 100 лет до Стояния на реке Угре. Вся группа направлена на восток, оттуда идут татары.","","<speaker audio='dialogs-upload/ed60219f-2b6b-41e1-89c8-c7bef666224f/810bf58f-5432-4980-b09f-b5aa21e8009b.opus'>","группе Дмитрия Донского"
